French,English,Urdu,Chinese,Japnese,Arabic
partie,part,حصہ,部分,一部,جزء
histoire,history,تاریخ,历史,歴史,تاريخ
chercher,search,تلاش کریں,寻找,求める,يطلب
seulement,only,صرف,仅有的,のみ,فقط
police,police,پولیس,警察,警察,شرطة
pensais,thought,سوچا,想法,考え,معتقد
aide,help,مدد,帮助,ヘルプ,يساعد
demande,request,درخواست,要求,リクエスト,طلب
genre,kind,صنف,性别,性別,جنس
mois,month,مہینہ,月,月,شهر
frÃ¨re,brother,پیارے,亲爱的,親愛なる,عزيزي
laisser,let,چھوڑنا,离开,去る,يغادر
car,because,کیونکہ,因为,なぜなら,لأن
mettre,to put,ڈال,放,置く,يضع
aucun,no,کوئی نہیں,没有任何,なし,لا أحد
laisse,leash,تنہا چھوڑ دو,独自留下,放置,يغادر بمفرده
eux,them,انہیں,他们,彼ら,هم
ville,city,شہر,城市,市,مدينة
chaque,each,ہر ایک,每个,それぞれ,كل
parlÃ©,speak,بولا,辐,話した,سلك
arrivÃ©,come,پہنچا,到达的,到着した,وصل
devrait,should,چاہئے,应该,すべき,يجب
bÃ©bÃ©,baby,ڈوڈڈ,躲避,かわした,تهرب
longtemps,long time,ایک طویل وقت,很长时间,長い間,وقت طويل
heures,hours,گھنٹے,小时,時間,ساعات
vont,will,جا رہے ہیں,要去,しようとしている,ذاهبون
pendant,while,کے دوران,期间,その間,خلال
revoir,meet again,خدا حافظ,再见,さようなら,مع السلامة
aucune,any,کوئی نہیں,没有任何,なし,لا أحد
place,square,جگہ,地方,場所,مكان
parle,speak,بولیں,说话,話す,يتكلم
compris,understood,سمجھا,理解,理解した,مفهومة
savais,knew,جانتا تھا,知道,知っていた,عرف
Ã©taient,were,تھے,是,だった,كان
attention,Warning,توجہ,注意力,注意,حذاري
voici,here is,یہاں ہے,这是,ここは,هنا
pourrais,could,کر سکتا ہے,可以,できた,استطاع
affaire,case,معاملہ,事务,事件、出来事,شأن
donner,give,دے,给,与える,يعطي
type,type,قسم,种类,親切,عطوف
leurs,their,ان کا,他们的,彼らの,هُم
donnÃ©,given,دیئے گئے,给出,与えられた,منح
train,train,ٹرین,火车,電車,يدرب
corps,body,جسم,身体,体,الجسم
endroit,place,جگہ,地方,場所,مكان
yeux,eyes,آنکھیں,眼睛,目,عيون
faÃ§on,way,طریقہ,方式,方法,طريق
Ã©coute,listen,نقصان,损失,損失,خسارة
dont,whose,جن میں سے,其中,そのうちの,منها
trouve,find,مل,寻找,探す,يجد
premier,first,پہلا,第一的,初め,أولاً
perdu,lost,کھو دیا,丢失的,失った,ضائع
main,hand,ہاتھ,手,手,يُسلِّم
premiÃ¨re,first,پہلا,第一的,初め,أولاً
cÃ´tÃ©,side,ذخیرہ,存储,保存されています,مخزن
pouvoir,power,طاقت,力量,力,يستطيع
vieux,old,بوڑھا,老的,古い,قديم
sois,be,بنے,是,なれ,يكون
tiens,here,پکڑو,抓住,所有,امسك
matin,morning,صبح,早晨,朝,صباح
tellement,so much,اس طرح,这样的,そのような,هذه
enfant,child,بچہ,孩子,子供,طفل
point,point,نقطہ,观点,ポイント,نقطة
venu,came,آیا,来了,来た,أتى
suite,after,درج ذیل,下列的,続く,التالي
pardon,sorry,معافی,赦免,許し,معذرة
venez,come,آو,来,来る,يأتي
devant,in front of,سامنے,在前,前に,أمام
vers,towards,کی طرف,向,に向かって,تجاه
minutes,minutes,منٹ,分钟,分,دقائق
demandÃ©,request,درخواست کی,要求,リクエスト,مطلوب
chambre,bedroom,بیڈروم,卧室,寝室,غرفة نوم
mis,placed,ڈال,放,置く,يضع
belle,beautiful,خوبصورت,美丽的,美しい,جميلة
droit,law,دائیں,正确的,右,يمين
aimerais,would like to,پسند کریں گے,想要,したいと思う,هل تحب أن
aujourd'hui,today,آج,今天,今日,اليوم
mari,husband,شوہر,丈夫,夫,زوج
cause,cause,وجہ,原因,原因,سبب
enfin,finally,آخر میں,最后,ついに,أخيراً
espÃ¨re,hope,اس کے باوجود,恶心,悪意,رغم
eau,water,پانی,水,水,ماء
attendez,Wait,انتظار کرو,等待,待って,انتظر
parti,left,بائیں,左边,左,غادر
nouvelle,new,نئی,新的,新しい,جديد
boulot,job,نوکری,工作,仕事,وظيفة
arrÃªter,Stop,بند کرو,停止,停止,قف
dirait,would say,کہوں گا,会说,言うでしょう,سيقول
terre,Earth,زمین,地球,地球,أرض
compte,account,کھاتہ,帐户,アカウント,حساب
donne,given,دیئے گئے,给出,与えられた,منح
loin,far,دور,远的,遠い,بعيد
fin,end,آخر,结尾,終わり,نهاية
croire,believe,یقین,相信,信じる,يعتقد
chÃ©rie,sweetheart,گندگی,拉屎,たわごと,القرف
gros,large,چربی,胖的,脂肪,ضخم
plutÃ´t,rather,بلکہ,相当,それよりも,بدلاً
aura,will have,پڑے گا,会有,持っています,سوف نحصل على
filles,girls,لڑکیاں,女孩们,女の子,فتيات
jouer,to play,کھیلیں,玩,遊ぶ,يلعب
bureau,office,ڈیسک,桌子,机,مكتب
